"EventNum","Event","Place","Crew","CrewAbbrev","Bow","Stroke","Start","Finish","Bouée_A","Bouée_C","RawTime","PenaltyCode","AdjTime","Delta"
"🦑 3","- M C2x","1","Société d'Aviron Fribourg (Fabien Donzelli / Justin Schaller)","SAF 1","862","M C2x","14:00:00.0","14:34:05.6","08:26.7","","34:05.6","","34:05.6",""
"🦑 3","- M C2x","2","Ruderclub Uster 2 (Mathias Hitz / Marco Poretti)","UST 2","1116","MM C2x","14:00:00.0","14:44:59.3","11:56.4","","44:59.3","","44:59.3","10:53.7"
"🦑 3","- M C2x","","Société Nautique Etoile Bienne 1 (Noah Mollard / Michael Steiner)","SNEB 1","202","M C2x","DNS","","","","","","DNS",""
"🦑 4","- M C1x*","1","Lausanne Sports Section Aviron 13 (Ondrej Zedka)","LSA 13","1115","M C1x*","14:00:00.0","14:38:24.8","09:26.5","18:44.6","38:24.8","","38:24.8",""
"🦑 4","- M C1x*","2","Société d'Aviron Fribourg (Dorian Rosenberg)","SAF 2","858","M C1x*","14:00:00.0","14:39:22.4","09:58.2","","39:22.4","","39:22.4","00:57.6"
"🦑 4","- M C1x*","3","Seeclub Thun 1 (Emanuel Studer)","THU 1","103","M C1x*","14:00:00.0","14:40:55.6","10:09.7","20:00.9","40:55.6","","40:55.6","02:30.8"
"🦑 4","- M C1x*","4","See-Club Zug (Kurt Struzina)","SCZ","SUI 01","M C1x*","14:00:00.0","14:41:51.8","10:30.7","","41:51.8","","41:51.8","03:27.0"
"🦑 4","- M C1x*","5","Polytechniker Ruderclub Zürich (Simon Leinen)","PRZ","104","M C1x","14:00:00.0","14:44:01.5","11:21.2","22:33.4","44:01.5","","44:01.5","05:36.7"
"🦑 4","- M C1x*","6","Coastal Barbarians (Tim Fenemore)","CBA 1","151","MM C1x","14:00:00.0","14:47:36.2","11:29.8","","47:36.2","","47:36.2","09:11.4"
"🦑 4","- M C1x*","","Société Nautique Etoile Bienne 2 (Martin Gunn)","SNEB 2","105","M C1x*","14:00:00.0","","11:18.0","","","","DNF",""
"🐟 1","- W C4x+","1","Lausanne Sports Section Aviron 14 (Tom de Geus (c) / Rebecca Smith / Natacha Lasorak / Annie Guillaume / Fanny Mossière)","LSA 14","405","W C4x+","15:15:00.5","15:54:06.9","09:08.5","18:44.4","39:06.4","","39:06.4",""
"🐟 1","- W C4x+","2","Exmouth Rowing Club (Joe Eglinton-Stafford (c) / Anna Childs / Florence Lock / Marie Guingouain / Amelia Currans)","ERC","926","W C4x+","15:15:00.5","15:56:03.0","08:17.2","17:17.2","41:02.5","","41:02.5","01:56.1"
"🐟 1","- W C4x+","3","Aviron Unil-Epfl 2 (Mathilde Julien (c) / Elena Pibiri / Clara Galimberti / Mélanie Saul / Juliette Salles)","UNIL-EPFL 2","401","W C4x+","15:15:00.5","15:56:57.5","09:40.3","20:09.1","41:57.0","","41:57.0","02:50.6"
"🐟 1","- W C4x+","4","Rowing Club Lausanne 5 (Lilia Adra (c) / Zoé Evard / Sylvie Vuilleumier / Florence Bégué / Laila Bounouar)","RCL 5","403","W C4x+","15:15:00.5","16:01:41.1","09:50.7","21:46.8","46:40.6","","46:40.6","07:34.2"
"🐟 1","- W C4x+","5","Basler Ruder-Club (Rahel Cerna-Willi (c) / Ivon van den Dries / Susanne Gathmann / Meike Stelljes / Sabrina Staniewska-Szewczyk)","BAS","852","MW C4x+","15:15:00.5","16:05:28.9","11:18.6","23:54.8","50:28.4","","50:28.4","11:22.0"
"🐟 2","- Mix C2x*","1","Chablais Aviron Thonon 1 (Simon Dubouloz / Cindy Pellegrino)","CAT 1","490","Mix C2x","15:15:00.5","15:49:13.1","07:17.5","15:59.0","34:12.6","","34:12.6",""
"🐟 2","- Mix C2x*","2","Ruderclub Erlenbach 1 (Yannick Raschle / Ayana Hatt)","ERL 1","202","Mix C2x*","15:15:00.5","15:49:41.5","07:10.5","16:00.5","34:41.0","","34:41.0","00:28.4"
"🐟 2","- Mix C2x*","3","Lausanne Sports Section Aviron 17 (Marie Minger / Romain Loup)","LSA 17","201","Mix C2x*","15:15:00.5","15:52:21.3","08:11.9","","37:20.8","","37:20.8","03:08.2"
"🐟 2","- Mix C2x*","4","Ruderclub Erlenbach 2 (Mara Bless / Felix Locher)","ERL 2","234","Mix C2x*","15:15:00.5","15:52:36.8","07:42.0","","37:36.3","","37:36.3","03:23.7"
"🐟 2","- Mix C2x*","5","Società Canottieri Locarno 2 (Giulia Maggini / Lauro Buffi)","LOC 2","85","Mix C2x*","15:15:00.5","15:52:56.2","07:49.9","","37:55.7","","37:55.7","03:43.1"
"🐟 2","- Mix C2x*","6","Forward Rowing Club Morges 2 (Samuel Chételat / Louise Martin)","FRCM 2","203","Mix C2x*","15:15:00.5","15:53:09.1","08:52.9","18:27.2","38:08.6","","38:08.6","03:56.0"
"🐟 2","- Mix C2x*","7","Forward Rowing Club Morges 1 (Margaux Oural / Jérôme Laurent)","FRCM 1","251","Mix C2x*","15:15:00.5","15:53:20.3","08:36.4","17:33.6","38:19.8","","38:19.8","04:07.2"
"🐟 2","- Mix C2x*","8","Lausanne Sports Section Aviron 18 (Adriana Perez Rotondo / Paolo Mattana)","LSA 18","204","Mix C2x*","15:15:00.5","15:54:01.8","08:38.4","18:30.2","39:01.3","","39:01.3","04:48.7"
"🐟 2","- Mix C2x*","9","Chablais Aviron Thonon 2 (Olivier Beal / Elsa Pfaifer)","CAT 2","921","MMix C2x","15:15:00.5","15:55:27.0","08:45.9","19:19.3","40:26.5","","40:26.5","06:13.9"
"🐟 2","- Mix C2x*","","Société Nautique Etoile Bienne 3 (Candice Humair / Jolan Wicht)","SNEB 3","236","Mix C2x*","15:15:00.5","","09:03.0","","","","DNF",""
"🐟 3","- W C2x","1","Rowing Club Lausanne 6 (Katrina Alexis Marie Edmunds / Natalia Hornes)","RCL 6","1116","W C2x","15:15:00.5","15:55:09.2","08:48.7","19:03.8","40:08.7","","40:08.7",""
